battery_id,battery_formula,framework_formula,formula_charge,formula_discharge,working_ion,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge,num_steps,nelements,chemsys,elements,id_charge,id_discharge,material_ids,warnings
BAT_00018,Li1-4Na2Ti3Al(PO4)6,Na2Ti3Al(PO4)6,Na2LiTi3Al(PO4)6,Na2Li4Ti3Al(PO4)6,Li,1.009212783333344,98.75824331697416,278.091339536295,99.6680816150351,280.65333479432223,0.034067947637202,0.011767695226124001,0.08876918515000001,1,5,Al-Na-O-P-Ti,"Na,Ti,Al,P,O",mp-769074,mp-769069,"mp-769074,mp-769073,mp-769078,mp-769069",More than one working ion per transition metal
BAT_00019,Li0-0.5Tb2AlFeO6,Tb2AlFeO6,Tb2AlFeO6,LiTb4Al2(FeO6)2,Li,0.42682322333334805,26.793757116084983,191.91425325316547,11.43619777749823,81.9134601771286,0.08088378623030901,0.017909213562502,0.10333964580356801,1,4,Al-Fe-O-Tb,"Tb,Al,Fe,O",mp-1217718,mp-1235259,"mp-1217718,mp-1235259,mp-1235570",
BAT_00020,Li1-2AlVO4,AlVO4,LiAlVO4,Li2AlVO4,Li,2.8414990516666783,172.0219977414676,622.2635644757885,488.80034344818756,1768.1613283446795,0.007314828338257,0.08904280630951601,0.024599422395833,1,3,Al-O-V,"Al,V,O",mp-769572,mp-755460,"mp-769572,mp-755460",More than one working ion per transition metal
BAT_00021,Li0-0.5AlV2O4,AlV2O4,AlV2O4,LiAl2V4O8,Li,1.585040253333337,68.25528688576361,294.42140014125164,108.18737721675035,466.66977066664526,0.015639923476078,0.20730499714285602,0.18620704208333003,1,3,Al-O-V,"Al,V,O",mp-1045538,mp-1235052,"mp-1045538,mp-1235052,mp-1236221",
BAT_00022,Li2-3MnBAsO7,MnBAsO7,Li2MnBAsO7,Li3MnBAsO7,Li,3.519553073333331,97.99822858013364,302.8504861211508,344.90996658043167,1065.89835918819,0.016520414441825,0.079758656101186,0.09141464504121201,1,4,As-B-Mn-O,"Mn,B,As,O",mp-772182,mp-771037,"mp-772182,mp-771037",More than one working ion per transition metal
BAT_00023,Li2-3FeBAsO7,FeBAsO7,Li2FeBAsO7,Li3FeBAsO7,Li,4.017984108333327,97.67431768552318,309.4101890882222,392.453856252733,1243.2052227128866,0.04286264073662,0.09249928586309501,0.091581478835162,1,4,As-B-Fe-O,"Fe,B,As,O",mp-1177952,mp-771029,"mp-1177952,mp-771029",More than one working ion per transition metal
BAT_00024,Li0-0.5BiAsPbO5,BiAsPbO5,BiAsPbO5,LiBi2As2(PbO5)2,Li,0.8994778333333261,23.323097680405844,157.9835744076621,20.978609368192974,142.10272321045824,0.111457927868642,0.011076319437499002,0.11103858446323502,1,4,As-Bi-O-Pb,"Bi,As,Pb,O",mp-554493,mp-1235033,"mp-554493,mp-1235033,mp-1236201,mp-1236358",Transition metal not found
BAT_00025,Li1-2CrAsCO7,CrAsCO7,LiCrAsCO7,Li2CrAsCO7,Li,4.493169558333339,101.21168290381378,305.2953596568236,454.761252571103,1371.7438163104682,0.011719696153955001,0.069573240673408,0.026140855555552,1,4,As-C-Cr-O,"Cr,As,C,O",mp-768612,mp-773176,"mp-768612,mp-773176",More than one working ion per transition metal
BAT_00026,Li2-3CuAsCO7,CuAsCO7,Li2CuAsCO7,Li3CuAsCO7,Li,3.6428909483333363,94.60556124776389,313.17742757282434,344.63774273147413,1140.8712161273609,0.027541175514562,0.043560258055554,0.055162097307690006,1,4,As-C-Cu-O,"Cu,As,C,O",mp-770477,mp-768589,"mp-770477,mp-768589",More than one working ion per transition metal
BAT_00027,Li1-3FeAsCO7,FeAsCO7,LiFeAsCO7,Li3FeAsCO7,Li,3.79779738333333,194.49826137136114,609.0945884148789,738.6649880990375,2313.217834084519,0.053430317392643006,0.06716367045454501,0.048485174615382,2,4,As-C-Fe-O,"Fe,As,C,O",mp-770902,mp-770939,"mp-770902,mp-771027,mp-770939",More than one working ion per transition metal
BAT_00028,Li1-3MnAsCO7,MnAsCO7,LiMnAsCO7,Li3MnAsCO7,Li,3.629206873333335,195.14044608762313,589.8054189591389,708.205048206535,2140.5258804157547,0.016056593070193,0.043047958863630005,0.060420901153847004,2,4,As-C-Mn-O,"Mn,As,C,O",mp-770905,mp-771034,"mp-770905,mp-771151,mp-771034",More than one working ion per transition metal
BAT_00029,Li1-2VAsCO7,VAsCO7,LiVAsCO7,Li2VAsCO7,Li,3.292125393333326,101.61637368404172,301.1517705734362,334.5338441836821,991.4293911521013,0.06826197366381301,0.048049886136371005,0.039084548958338,1,4,As-C-O-V,"V,As,C,O",mp-756295,mp-772133,"mp-756295,mp-772133",More than one working ion per transition metal
BAT_00030,Li0-1CoAsO4,CoAsO4,CoAsO4,LiCoAsO4,Li,4.520946918333334,130.87082786709936,559.2803593714077,591.6600659454951,2528.4768171845253,0.047159454681764,0.11054996291666701,0.002541872619049,1,3,As-Co-O,"Co,As,O",mp-1213775,mp-20046,"mp-1213775,mp-20046,mp-1285020",
BAT_00031,Li0-1FeAs2O7,FeAs2O7,FeAs2O7,LiFeAs2O7,Li,5.443386683333334,82.56135893835622,332.5608364689953,449.4134018029518,1810.2572286335237,0.014209346040159,0.08801943854166601,0.0,1,3,As-Fe-O,"Fe,As,O",mp-25260,mp-18878,"mp-25260,mp-18878",
BAT_00032,Li0.95-1FeAs,FeAs,Li19(FeAs)20,LiFeAs,Li,1.7028558533333191,9.731300649115923,50.71370499465639,16.571002270893384,86.35812939436985,0.006759784244354,0.013307571355932002,0.0,1,2,As-Fe,"Fe,As",mp-530480,mp-21471,"mp-530480,mp-21471",
BAT_00033,Li0-3Fe2(AsO4)3,Fe2(AsO4)3,Fe2(AsO4)3,Li3Fe2(AsO4)3,Li,5.085863810833331,146.38402899425472,538.0026867082696,744.4892355458571,2736.2083944606907,0.028936473617741,0.14451663438724902,0.0009231936500010001,1,3,As-Fe-O,"Fe,As,O",mp-543107,mp-542008,"mp-543107,mp-542008",More than one working ion per transition metal
BAT_00034,Li0-0.5KTiAsO5,KTiAsO5,KTiAsO5,K2LiTi2(AsO5)2,Li,0.8555944883333281,54.6178938412433,180.0567764751375,46.730768934942624,154.0555855391938,0.014557715197403,0.0,0.107425611443347,1,4,As-K-O-Ti,"K,Ti,As,O",mp-6488,mp-772826,"mp-6488,mp-772826",
BAT_00035,Li0-1MnAs,MnAs,MnAs,LiMnAs,Li,1.221144383333333,195.91633610619226,817.9181986211698,239.24213343932217,998.7962142723591,0.182656531783761,0.44509168,0.145942876340997,1,2,As-Mn,"Mn,As",mp-1009131,mp-1008911,"mp-1009131,mp-1008911",
BAT_00036,Li1-1.15MnAs,MnAs,LiMnAs,Li23(MnAs)20,Li,-0.6983127599999921,29.16548041038338,122.41341169757163,-20.366627122100535,-85.48284738354661,0.15527058273555902,0.13185651634099702,0.19543965424648702,1,2,As-Mn,"Mn,As",mp-21284,mp-531949,"mp-21284,mp-531949",More than one working ion per transition metal
BAT_00037,Li0-1NiAsO4,NiAsO4,NiAsO4,LiNiAsO4,Li,5.032981518333333,131.0242457007058,577.5807854728228,659.4426070652179,2906.9534186291667,0.049245463950724,0.152693803229162,0.0,1,3,As-Ni-O,"Ni,As,O",mp-510749,mp-22243,"mp-510749,mp-22243",
BAT_00038,Li0-1MnAsO4,MnAsO4,MnAsO4,LiMnAsO4,Li,3.76744912833333,133.4746782541047,522.240590807198,502.8590602429984,1967.5148586168614,0.062570318125929,0.031322605,0.0,1,3,As-Mn-O,"Mn,As,O",mp-510755,mp-20052,"mp-510755,mp-20052",
BAT_00039,Li3-4VAs2O9,VAs2O9,Li3VAs2O9,Li4VAs2O9,Li,3.726356205833345,71.94192230906822,227.45991271401957,268.0812286559767,847.5966573201978,0.010062164969947001,0.052553016166664,0.043911376562499,1,3,As-O-V,"V,As,O",mp-1177474,mp-1177164,"mp-1177474,mp-1177164",More than one working ion per transition metal
BAT_00040,Li0-1VAsO5,VAsO5,VAsO5,LiVAsO5,Li,3.8472558033333373,125.946158856152,466.6035746693971,484.5470905668732,1795.1433105029182,0.010222359532899001,0.0,0.0,1,3,As-O-V,"V,As,O",mp-510763,mp-17387,"mp-510763,mp-17387",
BAT_00041,Li0-1CuAuO2,CuAuO2,CuAuO2,LiCuAuO2,Li,2.037580983333332,89.50165007832643,746.7222166900734,182.3668601765522,1521.5069885602054,0.21816970161322402,0.022865469999999003,0.212830964,1,3,Au-Cu-O,"Cu,Au,O",mp-754126,mp-1236152,"mp-754126,mp-1236152",
BAT_00042,Li0-1AuC2,AuC2,AuC2,LiAuC2,Li,3.71962168333333,117.58698888934951,654.9172372074567,437.37911355069986,2436.0443563056137,0.273512160260229,1.543402631666666,0.498760086249999,1,2,Au-C,"Au,C",mp-1214766,mp-29868,"mp-1214766,mp-29868",
BAT_00043,Li0-0.25AuSeClO3,AuSeClO3,AuSeClO3,LiAu4Se4(ClO3)4,Li,2.648988873333327,18.55477353016999,86.18351902136791,49.15138862864005,228.2991829523148,0.065854996598809,0.0,0.044455231233334,1,4,Au-Cl-O-Se,"Au,Se,Cl,O",mp-560549,mp-1236013,"mp-560549,mp-1236013,mp-1236160,mp-1235328,mp-1235291,mp-1235050,mp-1232974,mp-1235220",
BAT_00044,Li0-1MgSnAu,MgSnAu,MgSnAu,LiMgSnAu,Li,0.30084118333333304,77.25493680799964,588.6802021410522,23.241466607660534,177.09924861702027,0.08963807807695101,0.0,0.058298733541666,1,3,Au-Mg-Sn,"Mg,Sn,Au",mp-5549,mp-7554,"mp-5549,mp-7554",
BAT_00045,Li0-1Cs7Au5O2,Cs7Au5O2,Cs7Au5O2,Cs7LiAu5O2,Li,-0.04008736666667,13.715435701765617,78.66115751285739,-0.549815699969825,-3.153318663642659,0.054713614013359,0.0,0.106447411000001,1,3,Au-Cs-O,"Cs,Au,O",mp-510075,mp-1235465,"mp-510075,mp-1235465,mp-1235902,mp-1236405,mp-1235134,mp-1235810",
BAT_00046,Li2-3Bi(BO3)2,Bi(BO3)2,Li2Bi(BO3)2,Li3Bi(BO3)2,Li,3.9161017308333372,77.14392460508779,330.93955627952863,302.10345666926077,1295.9929691474788,0.034123765199893005,0.055509871818190004,0.0,1,3,B-Bi-O,"Bi,B,O",mp-768437,mp-768820,"mp-768437,mp-768452,mp-768820",Transition metal not found
BAT_00047,Li1-2SbAu,SbAu,LiSbAu,Li2SbAu,Li,1.185891043333334,80.5796471989388,614.6142501388289,95.55868188818152,728.8655343446707,0.08194248753996901,0.10481701527777601,0.0,1,2,Au-Sb,"Sb,Au",mp-12564,mp-30404,"mp-12564,mp-30404",More than one working ion per transition metal
BAT_00048,Li0-1CrB3(HO3)3,CrB3(HO3)3,CrB3(HO3)3,LiCrB3(HO3)3,Li,4.06632266583333,112.42773412647509,234.11360904536053,457.16744354676905,951.9814748411925,0.028362813632403002,0.051440506281250006,0.06283315588613,1,4,B-Cr-H-O,"Cr,B,H,O",mp-778931,mp-778018,"mp-778931,mp-778018",
BAT_00049,Li0.5-1BC,BC,Li(BC)2,LiBC,Li,2.254960033333337,450.25285248589495,968.6947708637003,1015.302187250024,2184.3679927966396,0.011354145175550001,0.259060988700002,0.0,1,2,B-C,"B,C",mp-1222682,mp-9244,"mp-1222682,mp-9244",Transition metal not found
BAT_00050,Li0-0.5CuBH4ClO4,CuBH4ClO4,CuBH4ClO4,LiCu2B2H8(ClO4)2,Li,2.3212014033333372,73.91071049683644,200.13109656474506,171.5616449266208,464.54458219672597,0.0053831102083000005,0.050101747386364005,0.07407104706521801,1,5,B-Cl-Cu-H-O,"Cu,B,H,Cl,O",mp-1191142,mp-1236222,"mp-1191142,mp-1236222",
BAT_00051,Li0-1.25CoBO3,CoBO3,CoBO3,Li5Co4(BO3)4,Li,3.044208789333332,265.0072023134314,852.0327578767365,806.7372545191845,2593.7656103282807,0.12605409811470902,0.199436286222223,0.202603522299996,2,3,B-Co-O,"Co,B,O",mp-765572,mp-1177143,"mp-765572,mp-756081,mp-1177143",More than one working ion per transition metal
BAT_00052,Li3-5Mn2Fe(BO3)4,Mn2Fe(BO3)4,Li3Mn2Fe(BO3)4,Li5Mn2Fe(BO3)4,Li,2.95696950333333,123.03770534765488,375.85591680046775,363.8187424731277,1111.3944836263727,0.020469121009584,0.07413573226563,0.04913457442709301,1,4,B-Fe-Mn-O,"Mn,Fe,B,O",mp-766489,mp-766508,"mp-766489,mp-766490,mp-766508",More than one working ion per transition metal
BAT_00053,Li2.25-3Cr(BO3)2,Cr(BO3)2,Li9Cr4(BO3)8,Li3Cr(BO3)2,Li,3.916154996666652,105.55227231518435,284.42241909169735,413.3590586366284,1113.8422776899672,0.005392560122567,0.08407747737035601,0.03618951020833,1,3,B-Cr-O,"Cr,B,O",mp-759279,mp-760261,"mp-759279,mp-758885,mp-760261",More than one working ion per transition metal
BAT_00054,Li1-1.25CuBO3,CuBO3,LiCuBO3,Li5Cu4(BO3)4,Li,1.574718893333316,51.135588336548,187.29587023537945,80.52417707527692,294.93834550295725,0.042196833993715,0.08938888583333601,0.126478781700006,1,3,B-Cu-O,"Cu,B,O",mp-753471,mp-771172,"mp-753471,mp-771172",More than one working ion per transition metal
BAT_00055,Li0.12-0.88FeBO3,FeBO3,LiFe8(BO3)8,Li7Fe8(BO3)8,Li,3.057566636666663,166.4997483716783,547.5063270525367,509.0840756346381,1674.0370789597425,0.002838442240608,0.082910368170722,0.015802682606389,4,3,B-Fe-O,"Fe,B,O",mp-764518,mp-849710,"mp-764518,mp-764885,mp-757684,mp-849952,mp-758274,mp-849704,mp-764723,mp-761265,mp-764620,mp-761215,mp-752868,mp-1177681,mp-759585,mp-761214,mp-764524,mp-760324,mp-764513,mp-764971,mp-764535,mp-764465,mp-759474,mp-764589,mp-849617,mp-764519,mp-760281,mp-764799,mp-761221,mp-761226,mp-758705,mp-764651,mp-760352,mp-760275,mp-764702,mp-758691,mp-764587,mp-761227,mp-764891,mp-777343,mp-764542,mp-775322,mp-760268,mp-761278,mp-759860,mp-758860,mp-764798,mp-761222,mp-758961,mp-761209,mp-759239,mp-764888,mp-849710",
BAT_00056,Li0.25-1FeBO3,FeBO3,LiFe4(BO3)4,LiFeBO3,Li,3.020091366666666,165.3117134477588,546.5865753343039,499.2564785924502,1650.741397303031,0.005331217088064001,0.074066825476197,0.0,2,3,B-Fe-O,"Fe,B,O",mp-774381,mp-777049,"mp-774381,mp-764720,mp-753072,mp-760248,mp-760279,mp-1177118,mp-754325,mp-777049",
BAT_00057,Li0.67-1FeBO3,FeBO3,Li2Fe3(BO3)3,LiFeBO3,Li,7.960389798333321,73.47187264344836,242.64386390043546,584.8647454553513,1931.5397388212054,0.030094472717398003,0.33422500514706605,0.005646302222229001,2,3,B-Fe-O,"Fe,B,O",mp-759292,mp-1291335,"mp-759292,mp-766512,mp-1291335,mp-756664",
BAT_00058,Li0.12-0.88FeBO3,FeBO3,LiFe8(BO3)8,Li7Fe8(BO3)8,Li,3.023072698333336,166.4997483716783,551.5964292045389,503.34084358179103,1667.5161056263987,0.009691196834032,0.08362336670730901,0.020828141542560002,4,3,B-Fe-O,"Fe,B,O",mp-764478,mp-761220,"mp-764478,mp-764738,mp-1176725,mp-849690,mp-779091,mp-761235,mp-764941,mp-764847,mp-764525,mp-759768,mp-764672,mp-759387,mp-764904,mp-759237,mp-776909,mp-761224,mp-764505,mp-764552,mp-764559,mp-775269,mp-775238,mp-764612,mp-764554,mp-761194,mp-764528,mp-849589,mp-764643,mp-757792,mp-764459,mp-757269,mp-761202,mp-764502,mp-849701,mp-761220",
