battery_id,battery_formula,framework_formula,formula_charge,formula_discharge,working_ion,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge,num_steps,nelements,chemsys,elements,id_charge,id_discharge,material_ids,warnings,element_list,has_transition_metal,oxide,sulfide,fluoride,phosphate_possible,silicate_possible,has_main_transition_metal,max_stability,charge_file,discharge_file,charge_status,discharge_status,charge_volume_raw,discharge_volume_raw,charge_framework_units,discharge_framework_units,charge_volume_normalized,discharge_volume_normalized,endpoint_delta_signed,endpoint_delta_abs,volume_residual,abs_volume_residual
BAT_00941,Li0-1Mn4(PO4)3,Mn4(PO4)3,Mn4(PO4)3,LiMn4(PO4)3,Li,4.447853668333356,52.38682662760285,186.67739328400407,233.00893898792685,830.3137285131661,0.008445654001766,0.062347607368391,0.025926923124991,1,3,Mn-O-P,"Mn,P,O",mp-26394,mp-26393,"mp-26394,mp-26393",,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.062347607368391,BAT_00941_mp-26394.cif,BAT_00941_mp-26393.cif,downloaded,downloaded,961.6757284241698,953.6217689153583,4.0,4.0,240.41893210604246,238.40544222883958,-0.008374922305680939,0.008374922305680939,7.073169608506034e-05,7.073169608506034e-05
BAT_00942,Li0-5Mn2(PO4)3,Mn2(PO4)3,Mn2(PO4)3,Li5Mn2(PO4)3,Li,4.017643297333335,312.0114339231122,866.5029147793747,1253.5506461925545,3481.299627683153,0.201325565996927,0.046424452794105,0.050329882272724,5,3,Mn-O-P,"Mn,P,O",mp-26062,mp-768651,"mp-26062,mp-26061,mp-26846,mp-697792,mp-759308,mp-774345,mp-780607,mp-32024,mp-26601,mp-760033,mp-772945,mp-764125,mp-768651,mp-768628",More than one working ion per transition metal,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.050329882272724,BAT_00942_mp-26062.cif,BAT_00942_mp-768651.cif,downloaded,downloaded,427.540386681106,485.9005908588775,2.0,2.0,213.770193340553,242.95029542943874,0.13650220188742362,0.13650220188742362,0.06482336410950337,0.06482336410950337
BAT_00943,Li0-2MnP2O7,MnP2O7,MnP2O7,Li2MnP2O7,Li,4.026647520833333,220.80333829412203,624.6711396691062,889.0972147337503,2515.3304958847393,0.121519687835453,0.009338634249999,0.021640434999972,2,3,Mn-O-P,"Mn,P,O",mp-540416,mp-540223,"mp-540416,mp-540415,mp-540033,mp-540223",More than one working ion per transition metal,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.021640434999972,BAT_00943_mp-540416.cif,BAT_00943_mp-540223.cif,downloaded,downloaded,483.13535902325197,569.9627043158961,4.0,4.0,120.78383975581299,142.49067607897402,0.17971639556289515,0.17971639556289515,-0.05819670772744215,0.05819670772744215
BAT_00944,Li0-0.5MnPO4,MnPO4,MnPO4,LiMn2(PO4)2,Li,4.06187906833333,87.36959641448958,250.11358564139144,354.884734884746,1015.9311382225636,0.036602961974525,0.082084140416666,0.054224477499993,1,3,Mn-O-P,"Mn,P,O",mp-540146,mp-1176680,"mp-540146,mp-1176680",,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.082084140416666,BAT_00944_mp-540146.cif,BAT_00944_mp-1176680.cif,downloaded,downloaded,343.31134942008646,355.87756176052216,4.0,4.0,85.82783735502161,88.96939044013054,0.03660296218479887,0.03660296218479887,-2.1027387470118342e-10,2.1027387470118342e-10
BAT_00945,Li1-2MnP2O7,MnP2O7,LiMnP2O7,Li2MnP2O7,Li,4.051171003333342,110.401669147061,311.411611049208,447.2560407681748,1261.5816887838723,0.008020185627112,0.046860550909104,0.025054616041638,1,3,Mn-O-P,"Mn,P,O",mp-697744,mp-26413,"mp-697744,mp-26413",More than one working ion per transition metal,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.046860550909104,BAT_00945_mp-697744.cif,BAT_00945_mp-26413.cif,downloaded,downloaded,567.1054933295616,571.6537842223314,4.0,4.0,141.7763733323904,142.91344605558285,0.008020184862019485,0.008020184862019485,7.65092515384036e-10,7.65092515384036e-10
BAT_00948,Li0-1MnP2O7,MnP2O7,MnP2O7,LiMnP2O7,Li,4.879427273333339,113.65114030113016,366.6681558750384,554.5524736307683,1789.1306000395025,0.108728839162103,0.052996513249999,0.003070131136376,1,3,Mn-O-P,"Mn,P,O",mp-27032,mp-27031,"mp-27032,mp-27031",,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.052996513249999,BAT_00948_mp-27032.cif,BAT_00948_mp-27031.cif,downloaded,downloaded,109.47358862368144,242.75304948173573,1.0,2.0,109.47358862368144,121.37652474086786,0.10872883831462864,0.10872883831462864,8.474743684594443e-10,8.474743684594443e-10
BAT_00949,Li1-3Mn2(PO4)3,Mn2(PO4)3,LiMn2(PO4)3,Li3Mn2(PO4)3,Li,4.497210830833329,128.9732024538312,424.642781270383,580.0196829626293,1909.708115164355,0.056964856163744,0.061434238472232,0.028542203250025,1,3,Mn-O-P,"Mn,P,O",mp-32023,mp-26453,"mp-32023,mp-26453",More than one working ion per transition metal,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.061434238472232,BAT_00949_mp-32023.cif,BAT_00949_mp-26453.cif,downloaded,downloaded,396.628201404271,419.2220706176632,2.0,2.0,198.3141007021355,209.6110353088316,0.05696485810489035,0.05696485810489035,-1.941146347828049e-09,1.941146347828049e-09
BAT_00951,Li0-1MnPO4,MnPO4,MnPO4,LiMnPO4,Li,4.206166843333325,170.8728823723351,493.8097310073079,718.7198522593114,2077.0461174782868,0.027676897105091,0.084943009722223,0.012182686547613,1,3,Mn-O-P,"Mn,P,O",mp-694547,mp-26071,"mp-694547,mp-26071",,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.084943009722223,BAT_00951_mp-694547.cif,BAT_00951_mp-26071.cif,downloaded,downloaded,555.7200844016342,540.7536997451408,6.0,6.0,92.62001406693902,90.12561662419013,-0.026931516561270675,0.026931516561270675,0.0007453805438203259,0.0007453805438203259
BAT_00952,Li0-2MnP2O7,MnP2O7,MnP2O7,Li2MnP2O7,Li,4.247790099583331,220.80333829412203,622.5868606337289,937.9262343607204,2644.6183027306206,0.038870831107834,0.072622637499999,0.037520007916639,2,3,Mn-O-P,"Mn,P,O",mp-585266,mp-31953,"mp-585266,mp-935620,mp-26555,mp-31953",More than one working ion per transition metal,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.072622637499999,BAT_00952_mp-585266.cif,BAT_00952_mp-31953.cif,downloaded,downloaded,559.3072441107071,571.8708096607733,4.0,4.0,139.82681102767677,142.96770241519332,0.022462726314303565,0.022462726314303565,0.016408104793530436,0.016408104793530436
BAT_00953,Li3-4Mn(PO4)2,Mn(PO4)2,Li3Mn(PO4)2,Li4Mn(PO4)2,Li,4.041787503333329,98.3018351816018,256.1619574303642,397.3151289917307,1035.3521983714504,0.023543212088019,0.029951626607193,0.010621523999999,1,3,Mn-O-P,"Mn,P,O",mp-881278,mp-26081,"mp-881278,mp-760997,mp-26081",More than one working ion per transition metal,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.029951626607193,BAT_00953_mp-881278.cif,BAT_00953_mp-26081.cif,downloaded,downloaded,678.9645017440499,694.9495068572472,4.0,4.0,169.74112543601248,173.7373767143118,0.02354321186473927,0.02354321186473927,2.232797280399268e-10,2.232797280399268e-10
