battery_id,framework_formula,graph_file,status,num_atoms,num_edges
BAT_01960,VOF3,BAT_01960.pt,success,20,660
BAT_01962,V4OF11,BAT_01962.pt,success,32,1158
BAT_01963,V4OF12,BAT_01963.pt,success,17,608
BAT_01965,V4O5F7,BAT_01965.pt,success,16,600
BAT_01966,V4OF11,BAT_01966.pt,success,32,1156
BAT_01967,V4(OF3)3,BAT_01967.pt,success,32,1172
BAT_01968,V2OF5,BAT_01968.pt,success,24,866
BAT_01969,VO2F,BAT_01969.pt,success,16,572
BAT_01970,V2OF5,BAT_01970.pt,success,24,1120
BAT_01971,V(OF)2,BAT_01971.pt,success,20,680
BAT_01972,V3OF11,BAT_01972.pt,success,30,1040
BAT_01973,V4OF11,BAT_01973.pt,success,32,1156
BAT_01974,V6O7F5,BAT_01974.pt,success,18,824
BAT_01975,VOF3,BAT_01975.pt,success,20,752
BAT_01976,V3OF11,BAT_01976.pt,success,30,1020
BAT_01977,V2OF5,BAT_01977.pt,success,16,580
BAT_01978,V3O5F3,BAT_01978.pt,success,22,952
BAT_01979,V4O5F7,BAT_01979.pt,success,16,600
BAT_01980,V4(OF3)3,BAT_01980.pt,success,32,1180
BAT_01982,V4OF11,BAT_01982.pt,success,32,1156
BAT_01983,V2OF5,BAT_01983.pt,success,32,1154
BAT_01984,V2OF5,BAT_01984.pt,success,32,1164
BAT_01985,VOF3,BAT_01985.pt,success,20,532
BAT_01986,V(OF)2,BAT_01986.pt,success,60,2096
BAT_01987,V3OF11,BAT_01987.pt,success,30,1036
BAT_01988,V4O5F7,BAT_01988.pt,success,16,600
BAT_01989,V2OF5,BAT_01989.pt,success,24,866
BAT_01990,V6O7F5,BAT_01990.pt,success,18,836
BAT_01991,V6O5F19,BAT_01991.pt,success,30,1016
BAT_01992,V3OF11,BAT_01992.pt,success,30,1030
BAT_01993,V3O5F3,BAT_01993.pt,success,22,936
BAT_01995,V2OF5,BAT_01995.pt,success,24,858
BAT_01996,V4(OF3)3,BAT_01996.pt,success,32,1174
BAT_01997,V3OF11,BAT_01997.pt,success,30,1028
BAT_01999,V3OF11,BAT_01999.pt,success,30,1036
BAT_02002,V3OF11,BAT_02002.pt,success,30,1036
BAT_02003,V4OF11,BAT_02003.pt,success,32,1156
BAT_02004,V3OF11,BAT_02004.pt,success,30,1004
BAT_02006,V4(OF3)3,BAT_02006.pt,success,16,586
BAT_02007,V4(OF3)3,BAT_02007.pt,success,32,1178
BAT_02008,V4OF11,BAT_02008.pt,success,32,1156
BAT_02009,V3OF11,BAT_02009.pt,success,30,1036
BAT_02010,V6O5F19,BAT_02010.pt,success,30,1034
BAT_02011,V4(OF3)3,BAT_02011.pt,success,32,1174
BAT_02012,V2OF5,BAT_02012.pt,success,32,1160
BAT_02013,V2OF7,BAT_02013.pt,success,20,556
BAT_02014,V4OF11,BAT_02014.pt,success,32,1156
BAT_02015,V2(OF)3,BAT_02015.pt,success,24,904
BAT_02016,V4OF11,BAT_02016.pt,success,32,1148
BAT_02017,VOF3,BAT_02017.pt,success,20,752
BAT_02018,V4(OF3)3,BAT_02018.pt,success,32,1176
