battery_id,framework_formula,id_charge,id_discharge,charge_file,discharge_file,charge_status,discharge_status
BAT_00573,CuNi3O8,mp-861850,mp-752986,BAT_00573_mp-861850.cif,BAT_00573_mp-752986.cif,downloaded,downloaded
BAT_00574,V4CuNiO12,mp-756167,mp-1177805,BAT_00574_mp-756167.cif,BAT_00574_mp-1177805.cif,downloaded,downloaded
BAT_00617,TiCu3(PO4)4,mp-1101275,mp-1177279,BAT_00617_mp-1101275.cif,BAT_00617_mp-1177279.cif,downloaded,downloaded
BAT_00619,VCu(PO4)2,mp-755025,mp-757133,BAT_00619_mp-755025.cif,BAT_00619_mp-757133.cif,downloaded,downloaded
BAT_00621,V3Cu(PO4)4,mp-775334,mp-1177267,BAT_00621_mp-775334.cif,BAT_00621_mp-1177267.cif,downloaded,downloaded
BAT_00622,V2Cu(PO4)3,mp-757397,mp-759398,BAT_00622_mp-757397.cif,BAT_00622_mp-759398.cif,downloaded,downloaded
BAT_00624,V3Cu(PO4)6,mp-774423,mp-1176990,BAT_00624_mp-774423.cif,BAT_00624_mp-1176990.cif,downloaded,downloaded
BAT_00634,Ti3Cu3(TeO8)2,mp-760579,mp-758259,BAT_00634_mp-760579.cif,BAT_00634_mp-758259.cif,downloaded,downloaded
BAT_00636,V5CuO12,mp-777235,mp-755507,BAT_00636_mp-777235.cif,BAT_00636_mp-755507.cif,downloaded,downloaded
BAT_00637,V4CuO12,mp-756257,mp-756355,BAT_00637_mp-756257.cif,BAT_00637_mp-756355.cif,downloaded,downloaded
BAT_00638,VCuO4,mp-25196,mp-1104607,BAT_00638_mp-25196.cif,,downloaded,missing
BAT_00639,V3CuO8,mp-775644,mp-773650,BAT_00639_mp-775644.cif,BAT_00639_mp-773650.cif,downloaded,downloaded
BAT_00641,Ti16CuS32,mp-767157,mp-774459,BAT_00641_mp-767157.cif,BAT_00641_mp-774459.cif,downloaded,downloaded
BAT_00647,FeF6,mp-777463,mp-755087,BAT_00647_mp-777463.cif,BAT_00647_mp-755087.cif,downloaded,downloaded
BAT_00648,FeF3,mp-22398,mp-761166,BAT_00648_mp-22398.cif,BAT_00648_mp-761166.cif,downloaded,downloaded
BAT_00650,FeF4,mp-776164,mp-849493,BAT_00650_mp-776164.cif,BAT_00650_mp-849493.cif,downloaded,downloaded
BAT_00652,FeF4,mp-756535,mp-777588,BAT_00652_mp-756535.cif,BAT_00652_mp-777588.cif,downloaded,downloaded
BAT_00653,FeF3,mp-1181398,mp-760354,BAT_00653_mp-1181398.cif,BAT_00653_mp-760354.cif,downloaded,downloaded
BAT_00654,FeF4,mp-755299,mp-755356,BAT_00654_mp-755299.cif,BAT_00654_mp-755356.cif,downloaded,downloaded
BAT_00655,FeF4,mp-756100,mp-755741,BAT_00655_mp-756100.cif,BAT_00655_mp-755741.cif,downloaded,downloaded
BAT_00656,FeF4,mp-777477,mp-754579,BAT_00656_mp-777477.cif,BAT_00656_mp-754579.cif,downloaded,downloaded
BAT_00657,Fe4OF8,mp-754705,mp-849951,BAT_00657_mp-754705.cif,BAT_00657_mp-849951.cif,downloaded,downloaded
BAT_00658,FeOF3,mp-755818,mp-752488,BAT_00658_mp-755818.cif,BAT_00658_mp-752488.cif,downloaded,downloaded
BAT_00660,FeOF3,mp-752830,mp-887364,BAT_00660_mp-752830.cif,BAT_00660_mp-887364.cif,downloaded,downloaded
BAT_00661,Fe3(OF3)2,mp-756353,mp-752847,BAT_00661_mp-756353.cif,BAT_00661_mp-752847.cif,downloaded,downloaded
BAT_00663,Fe7O7F,mp-1178254,mp-1176712,BAT_00663_mp-1178254.cif,BAT_00663_mp-1176712.cif,downloaded,downloaded
BAT_00664,Fe5(OF2)4,mp-752802,mp-754972,BAT_00664_mp-752802.cif,BAT_00664_mp-754972.cif,downloaded,downloaded
BAT_00665,Fe7O3F13,mp-754593,mp-780457,BAT_00665_mp-754593.cif,BAT_00665_mp-780457.cif,downloaded,downloaded
BAT_00668,FeO5F,mp-754420,mp-755400,BAT_00668_mp-754420.cif,BAT_00668_mp-755400.cif,downloaded,downloaded
BAT_00669,Fe5(OF2)4,mp-754310,mp-1176720,BAT_00669_mp-754310.cif,BAT_00669_mp-1176720.cif,downloaded,downloaded
BAT_00670,FeOF4,mp-754295,mp-754592,BAT_00670_mp-754295.cif,BAT_00670_mp-754592.cif,downloaded,downloaded
BAT_00672,Fe5OF11,mp-1346391,mp-1342745,BAT_00672_mp-1346391.cif,BAT_00672_mp-1342745.cif,downloaded,downloaded
BAT_00673,FeOF3,mp-764977,mp-777299,BAT_00673_mp-764977.cif,BAT_00673_mp-777299.cif,downloaded,downloaded
BAT_00674,Fe3OF5,mp-779913,mp-753410,BAT_00674_mp-779913.cif,BAT_00674_mp-753410.cif,downloaded,downloaded
BAT_00675,FeOF5,mp-775155,mp-1177101,BAT_00675_mp-775155.cif,BAT_00675_mp-1177101.cif,downloaded,downloaded
BAT_00676,Fe4OF7,mp-881173,mp-776991,BAT_00676_mp-881173.cif,BAT_00676_mp-776991.cif,downloaded,downloaded
BAT_00678,Fe2OF3,mp-777541,mp-776904,BAT_00678_mp-777541.cif,BAT_00678_mp-776904.cif,downloaded,downloaded
