metal,count,mean_voltage,mean_capacity,mean_volume_change,median_stability_charge,median_stability_discharge
Ti,102,3.1901350440872625,151.82904809532346,0.0501814456496346,0.07646608173115149,0.054962993984375
V,485,3.374399673794197,147.35124653955825,0.03886566741966553,0.043577846111111,0.049550091249963
Cr,281,3.679386260811874,140.93516510807447,0.048843711414659735,0.07865080887499,0.042060777991073
Mn,568,3.749029810766559,147.63679568461603,0.06088350958319323,0.06601391445465049,0.0405484173183115
Fe,436,3.681621892237431,145.28124419374348,0.0423542217010194,0.07906120388020549,0.037125921099759
Co,326,3.9139622611331584,161.40929403538854,0.058258932652552366,0.0721597082041875,0.0434465389548505
Ni,220,4.063910008434541,133.69567326388497,0.04169959405136266,0.0768326805303185,0.03816373778125
