subset,samples,r2,mae,rmse,correlation,mean_residual
All valid pairs,1855,0.5663683667382123,0.009750111064343274,0.027918005960581433,0.8200872589278693,-0.0036424297749999635
Single-step,1486,0.5433357409337357,0.00802685931245112,0.02613199410175528,0.8145119359755723,-0.004894692348289654
Multi-step,369,0.5632488906017591,0.016689818661394063,0.03417845691518069,0.8267943744111802,0.0014005571732614976
