model,num_features,mean_r2,std_r2,mean_mae,mean_rmse
Composition only,142,0.4934619549107547,0.06367231525078068,0.4185200258190074,0.5581625099740503
Reaction only,3,0.10260443502741759,0.0526623326838537,0.5990129246861406,0.744416622463408
Composition + Reaction,145,0.5302182186729583,0.09277785819677314,0.3965584538245185,0.5361906684734066
