group,samples,mean_abs_residual,median_abs_residual
contains_F,705,0.014532011518007594,3.3653016241752542e-09
contains_V,476,0.01854905136800938,2.4514285618809635e-09
contains_Mn,566,0.00570552423666359,8.719661555300906e-10
contains_Fe,435,0.005114612298289625,2.6390227642059112e-09
contains_Co,325,0.007049446653994062,1.351867659482586e-09
contains_Ni,220,0.00379497530354581,1.5318642422254556e-09
