threshold,count,fraction
1e-06,1095,0.5902964959568733
0.0001,1201,0.6474393530997304
0.001,1354,0.7299191374663073
0.005,1507,0.8123989218328841
0.01,1561,0.8415094339622642
0.02,1608,0.8668463611859838
0.05,1690,0.9110512129380054
