target,unit,mean_group_cv_r2,std_group_cv_r2,mean_group_cv_mae,mean_group_cv_rmse
average_voltage,V,0.4934619549107547,0.05695025007421687,0.4185200258190074,0.5581625099740503
capacity_grav,mAh/g,0.18332516972457624,0.07571603008376916,41.234957297351784,54.06261339194823
max_delta_volume,fraction,0.11616728959911185,0.05077049368731627,0.027965232065054184,0.03949176111101494
