battery_id,framework_formula,num_steps,max_delta_volume,endpoint_delta_abs,volume_residual,abs_volume_residual,contains_F,contains_V,contains_Mn,contains_Fe,contains_Co,contains_Ni
BAT_00015,Al3Cr3(SbO8)2,1,0.05445090810899,0.0544509083658009,-2.5681096832430583e-10,2.5681096832430583e-10,False,False,False,False,False,False
BAT_00017,Al2FeO6,2,0.004728772679465,0.0047065195705012,2.225310896378663e-05,2.225310896378663e-05,True,False,False,True,False,False
BAT_00020,AlVO4,1,0.007314828338257,0.0072617112004193,5.311713783768407e-05,5.311713783768407e-05,False,True,False,False,False,False
BAT_00022,MnBAsO7,1,0.016520414441825,0.0165204147929897,-3.5116471883145373e-10,3.5116471883145373e-10,False,False,True,False,False,False
BAT_00023,FeBAsO7,1,0.04286264073662,0.0411009449757619,0.001761695760858,0.001761695760858,True,False,False,True,False,False
BAT_00025,CrAsCO7,1,0.011719696153955,0.0115839355839662,0.0001357605699887,0.0001357605699887,False,False,False,False,False,False
BAT_00027,FeAsCO7,2,0.053430317392643,0.050720315361283,0.0027100020313599,0.0027100020313599,True,False,False,True,False,False
BAT_00028,MnAsCO7,2,0.016056593070193,0.0160565935558408,-4.856478691417364e-10,4.856478691417364e-10,False,False,True,False,False,False
BAT_00029,VAsCO7,1,0.068261973663813,0.0639000309303653,0.0043619427334476,0.0043619427334476,False,True,False,False,False,False
BAT_00030,CoAsO4,1,0.047159454681764,0.047159453475786,1.2059779286310855e-09,1.2059779286310855e-09,False,False,False,False,True,False
BAT_00031,FeAs2O7,1,0.014209346040159,0.0142093466982506,-6.58091697455787e-10,6.58091697455787e-10,True,False,False,True,False,False
BAT_00033,Fe2(AsO4)3,1,0.028936473617741,0.0289364737112598,-9.351883850650111e-11,9.351883850650111e-11,True,False,False,True,False,False
BAT_00037,NiAsO4,1,0.049245463950724,0.049245463950725,-1.033895191682177e-15,1.033895191682177e-15,False,False,False,False,False,True
BAT_00038,MnAsO4,1,0.062570318125929,0.0625703181281533,-2.224345707624309e-12,2.224345707624309e-12,False,False,True,False,False,False
BAT_00039,VAs2O9,1,0.010062164969947,0.0099619264228622,0.0001002385470847,0.0001002385470847,False,True,False,False,False,False
BAT_00040,VAsO5,1,0.010222359532899,0.0065652853688946,0.0036570741640043,0.0036570741640043,False,True,False,False,False,False
BAT_00048,CrB3(HO3)3,1,0.028362813632403,0.027580551587839,0.0007822620445639,0.0007822620445639,False,False,False,False,False,False
BAT_00051,CoBO3,2,0.126054098114709,0.1260540972154237,8.99285257371929e-10,8.99285257371929e-10,False,False,False,False,True,False
BAT_00052,Mn2Fe(BO3)4,1,0.020469121009584,0.0204691034273629,1.7582221012446553e-08,1.7582221012446553e-08,True,False,True,True,False,False
