battery_id,framework_formula,formula_charge,formula_discharge,id_charge,id_discharge,max_delta_volume,num_steps
BAT_00367,CrO3,CrO3,LiCrO3,mp-1429856,mp-1185311,0.010061862850069,1
BAT_00368,Cr3O8,Cr3O8,LiCr3O8,mp-2220540,mp-674219,0.090352278229007,1
BAT_00369,CrO2,CrO2,LiCr2O4,mp-1389152,mp-1045514,0.025467479299231,1
BAT_00370,Cr3P3O13,Cr3P3O13,LiCr3P3O13,mp-1047904,mp-1012789,0.00393533393129,1
BAT_00371,CrPO4,CrPO4,LiCrPO4,mp-689963,mp-583853,0.048512451458782,1
BAT_00372,Cr2P3O11,Cr2P3O11,LiCr2P3O11,mp-25818,mp-25817,0.034496695401371,1
BAT_00374,CrPO4,CrPO4,LiCrPO4,mp-18906,mp-26317,0.155963442498414,1
BAT_00375,CrP2O7,CrP2O7,LiCrP2O7,mp-540267,mp-26435,0.025945099195064,1
BAT_00376,CrP2O7,CrP2O7,LiCrP2O7,mp-26458,mp-1101520,0.0349610117373,1
BAT_00377,Cr2(PO4)3,LiCr2(PO4)3,Li3Cr2(PO4)3,mp-1101602,mp-25837,0.01417049132903,1
BAT_00378,Cr3(P2O7)2,Cr3(P2O7)2,Li2Cr3(P2O7)2,mp-1172917,mp-697855,0.070466110754354,1
BAT_00379,Cr(PO4)2,Cr(PO4)2,LiCr(PO4)2,mp-697815,mp-697692,0.030189224207825,1
BAT_00380,Cr(PO3)4,Cr(PO3)4,Li2Cr(PO3)4,mp-1178438,mp-697850,0.022332239426021,2
BAT_00381,Cr(PO3)5,Cr(PO3)5,Li2Cr(PO3)5,mp-705019,mp-704942,0.010844300698721,2
BAT_00383,Cr(PO4)2,Li2Cr(PO4)2,Li3Cr(PO4)2,mp-540287,mp-26481,0.010160537700989,1
BAT_00385,CrP2O7,CrP2O7,LiCrP2O7,mp-704959,mp-705001,0.033254990155345,1
BAT_00386,Cr2(PO4)3,LiCr2(PO4)3,Li3Cr2(PO4)3,mp-31677,mp-26489,0.0121701698822,1
BAT_00387,CrP2O7,CrP2O7,LiCrP2O7,mp-26494,mp-26493,0.063385903399548,1
BAT_00388,Cr2(PO4)3,Cr2(PO4)3,Li3Cr2(PO4)3,mp-26610,mp-780606,0.046967077392461,2
BAT_00389,Cr2(PO3)5,Cr2(PO3)5,LiCr2(PO3)5,mp-881272,mp-25861,0.035688615719197,1
BAT_00390,Cr(PO4)2,Li2Cr(PO4)2,Li3Cr(PO4)2,mp-26618,mp-26617,0.018753725560113,1
